task,task_label,component,variance_explained,cumulative_variance_explained,singular_value
pattern_discrimination,Pattern,17,0.017457128633702582,0.8475894573191047,0.6089882978707245
pattern_discrimination,Pattern,18,0.016653565061527834,0.8642430223806326,0.5948071089844347
pattern_discrimination,Pattern,19,0.015303097997817733,0.8795461203784503,0.570180317023122
pattern_discrimination,Pattern,20,0.013483923724659902,0.8930300441031102,0.5352179681677708
pattern_discrimination,Pattern,21,0.011089555348141548,0.9041195994512518,0.4853774635516664
pattern_discrimination,Pattern,22,0.00938419215940042,0.9135037916106522,0.4464995109369678
pattern_discrimination,Pattern,23,0.00844750611698716,0.9219512977276394,0.423630088902916
pattern_discrimination,Pattern,24,0.008121867263083565,0.9300731649907228,0.4153846896465441
pattern_discrimination,Pattern,25,0.007751734329673342,0.9378248993203961,0.40580928674062156
pattern_discrimination,Pattern,26,0.0067209227499751886,0.9445458220703713,0.37786528389826535
pattern_discrimination,Pattern,27,0.006038579788788472,0.9505844018591598,0.35817060950467766
pattern_discrimination,Pattern,28,0.0056149895945681125,0.9561993914537279,0.3453798681029688
pattern_discrimination,Pattern,29,0.00521133781552912,0.961410729269257,0.33273397983068437
pattern_discrimination,Pattern,30,0.004478607833972171,0.9658893371032291,0.3084565942643318
pattern_discrimination,Pattern,31,0.003725741842006075,0.9696150789452351,0.28133834024726045
pattern_discrimination,Pattern,32,0.003657762430732675,0.973272841375968,0.27875989282907193
pattern_discrimination,Pattern,33,0.0031761090580697472,0.9764489504340378,0.2597587852200548
pattern_discrimination,Pattern,34,0.0030030920209276305,0.9794520424549654,0.25258459606191225
pattern_discrimination,Pattern,35,0.0027755431085614906,0.982227585563527,0.24282675147426092
pattern_discrimination,Pattern,36,0.002372227098032093,0.984599812661559,0.22449189848472673
pattern_discrimination,Pattern,37,0.0021389194358468104,0.9867387320974058,0.21316689281345721
pattern_discrimination,Pattern,38,0.0021063461422553475,0.9888450782396612,0.21153752181766877
pattern_discrimination,Pattern,39,0.0017444219433412436,0.9905895001830024,0.19250779161940332
pattern_discrimination,Pattern,40,0.0016211860419137717,0.992210686224916,0.1855833326434489
pattern_discrimination,Pattern,41,0.0014745264857412316,0.9936852127106572,0.17699004119657952
pattern_discrimination,Pattern,42,0.0012735748113710597,0.9949587875220283,0.16448820902078945
pattern_discrimination,Pattern,43,0.001065443706757526,0.9960242312287858,0.15044847698747896
pattern_discrimination,Pattern,44,0.0009637608475476804,0.9969879920763335,0.14308930723506347
pattern_discrimination,Pattern,45,0.0008242865791810422,0.9978122786555145,0.13233101872358
pattern_discrimination,Pattern,46,0.0007869309545357392,0.9985992096100502,0.1292977167788113
pattern_discrimination,Pattern,47,0.0007437701303073959,0.9993429797403576,0.12570191906225675
pattern_discrimination,Pattern,48,0.0003821411875223169,0.99972512092788,0.09010200720024422
pattern_discrimination,Pattern,49,0.00027487907212006714,1.0,0.07641759745726585
pattern_discrimination,Pattern,50,2.7689115767567507e-32,1.0,7.66967718476104e-16
xor_electrode_classification,XOR,1,0.08727925598632047,0.08727925598632047,2.695733591633156
xor_electrode_classification,XOR,2,0.0710176652455391,0.15829692123185957,2.4316700621622975
xor_electrode_classification,XOR,3,0.06207759795343036,0.22037451918528994,2.2734683085097935
xor_electrode_classification,XOR,4,0.05942701051687514,0.2798015297021651,2.2244026023610513
xor_electrode_classification,XOR,5,0.05593434910260064,0.33573587880476574,2.1580462452029825
xor_electrode_classification,XOR,6,0.04724231954719426,0.38297819835196,1.9832938224104855
xor_electrode_classification,XOR,7,0.04614833530601115,0.42912653365797115,1.9601958818101504
xor_electrode_classification,XOR,8,0.04245608999893194,0.47158262365690307,1.8801454599385488
xor_electrode_classification,XOR,9,0.03801976363349531,0.5096023872903984,1.7792056907506781
xor_electrode_classification,XOR,10,0.03622565218676841,0.5458280394771668,1.7367190145823983
xor_electrode_classification,XOR,11,0.031145015684924317,0.5769730551620912,1.6103331364543851
xor_electrode_classification,XOR,12,0.030726223578633263,0.6076992787407245,1.5994698052193919
xor_electrode_classification,XOR,13,0.02780937308810037,0.6355086518288249,1.5216579943542214
xor_electrode_classification,XOR,14,0.02482825671726045,0.6603369085460853,1.4377870455984307
xor_electrode_classification,XOR,15,0.02348995300123253,0.6838268615473179,1.3985001800731292
xor_electrode_classification,XOR,16,0.02219952006912776,0.7060263816164454,1.3595439308648545
